,manufact,sales,resale_mv,type,engine_s,horsepow,wheelbas,width,length,curb_wgt,fuel_cap,mpg
66,20.99166666666667,55.557,13.475,1,2.5,120.0,93.4,66.7,152.0,3.045,19.0,17
33,23.43083333333334,30.696,16.985,0,3.5,253.0,113.0,74.4,197.8,3.567,17.0,23
141,21.98288888888889,25.106,13.325,1,2.0,127.0,94.9,66.7,163.8,2.668,15.3,27
59,20.277,12.855,17.525,1,3.2,205.0,106.4,70.4,178.2,3.857,21.1,19
127,29.04583333333333,12.115,18.355,0,2.0,185.0,102.6,67.4,182.2,2.99,16.9,23
131,14.271,8.472,15.005,0,2.2,137.0,106.5,69.0,190.4,3.075,13.1,27
148,17.69833333333333,5.596,13.76,0,2.0,115.0,98.9,68.3,163.3,2.762,14.6,26
125,62.47333333333334,1.866,61.35999999999998,0,3.4,300.0,92.6,69.5,174.5,3.075,17.0,23
58,20.277,73.203,17.71,1,2.0,146.0,103.2,68.9,177.6,3.219,15.3,24
28,23.43083333333334,7.854,12.36,0,2.5,163.0,103.7,69.7,190.9,2.967,15.9,24
124,62.47333333333334,1.28,60.625,0,3.4,300.0,92.6,69.5,174.5,3.032,17.0,21
111,25.62283333333333,20.017,19.925,1,4.3,190.0,107.0,67.8,181.2,4.068,17.5,19
54,21.04727272727273,220.65,7.85,1,2.5,119.0,117.5,69.4,200.7,3.086,20.0,23
17,40.254,11.185,18.225,0,3.0,200.0,107.4,70.3,194.8,3.77,18.0,22
73,44.055,9.126,32.41833333333333,1,4.7,230.0,112.2,76.4,192.5,5.401,25.4,15
104,22.36071428571429,42.574,17.81,1,3.3,170.0,106.3,71.7,182.6,3.947,21.0,19
135,21.98288888888889,142.535,10.025,0,1.8,120.0,97.0,66.7,174.0,2.42,13.2,33
77,41.69,22.925,35.49166666666667,1,5.4,300.0,119.0,79.9,204.8,5.393,30.0,15
18,40.254,14.785,20.26333333333333,1,5.7,255.0,117.5,77.0,201.2,5.572,30.0,15
48,21.04727272727273,245.815,10.055,0,3.0,155.0,108.5,73.0,197.6,3.368,16.0,24
