,price
66,14.46
33,29.185
141,16.888
59,26.6
127,26.1
131,18.835
148,17.5
125,74.97
58,20.55
28,19.84
124,71.02
111,31.598
54,12.05
17,31.01
73,60.105
104,29.299
135,13.108
77,42.66
18,46.225
48,17.885
4,23.99
45,12.07
102,26.249
39,19.46
36,20.23
120,21.665
149,15.9
110,36.229
12,31.965
11,25.3
85,16.24
126,33.12
97,41.6
116,43.0
2,22.799
107,18.145
6,62.0
0,21.5
113,12.64
65,42.8
55,26.935
81,24.997
84,22.527
46,21.56
62,11.799
74,34.605
119,25.31
95,38.9
103,26.399
91,31.75
10,21.975
34,12.64
32,28.34
130,14.29
38,69.725
83,31.807
114,16.08
155,36.0
27,18.89
23,24.34
67,21.62
9,38.9
151,24.4
100,13.499
108,24.15
136,17.518
87,19.035
98,85.5
145,16.7
112,25.345
64,29.465
15,44.475
82,25.45
41,18.575
80,17.357
52,21.41
26,9.235
76,43.33
43,26.31
24,45.705
154,45.5
118,19.72
132,15.01
49,12.315
21,18.89
70,37.805
3,42.0
147,19.99
30,22.245
153,28.8
121,23.755
106,17.89
47,17.035
115,18.85
13,27.885
88,22.605
8,33.4
60,26.0
128,10.685
1,28.4
57,15.35
22,19.39
61,9.699
63,14.999
7,26.99
152,27.5
86,16.54
96,41.0
68,26.895
50,22.195
139,11.528
101,20.39
20,16.535
25,13.96
134,20.095
71,46.305
129,12.535
144,14.9
79,19.047
133,22.695
137,25.545
72,54.005
140,22.368
37,22.505
