,manufact,sales,resale_mv,type,price,engine_s,horsepow,wheelbas,width,length,curb_wgt,fuel_cap,mpg
0,28.67475,16.919,16.36,0,21.5,1.8,140.0,101.2,67.3,172.4,2.639,13.2,28
1,28.67475,39.384,19.875,0,28.4,3.2,225.0,108.1,70.3,192.9,3.517,17.2,25
2,28.67475,14.114,18.225,0,22.799,3.2,225.0,106.9,70.6,192.0,3.47,17.2,26
3,28.67475,8.588,29.725,0,42.0,3.5,210.0,114.6,71.4,196.6,3.85,18.0,22
4,39.98,20.397,22.255,0,23.99,1.8,150.0,102.6,68.2,178.0,2.998,16.4,27
5,39.98,18.78,23.555,0,33.95,2.8,200.0,108.7,76.1,192.0,3.561,18.5,22
6,39.98,1.38,39.0,0,62.0,4.2,310.0,113.0,74.0,198.2,3.902,23.7,21
7,33.09666666666666,19.747,15.79,0,26.99,2.5,170.0,107.3,68.4,176.0,3.179,16.6,26
8,33.09666666666666,9.231,28.675,0,33.4,2.8,193.0,107.3,68.5,176.0,3.197,16.6,24
9,33.09666666666666,17.527,36.125,0,38.9,2.8,193.0,111.4,70.9,188.0,3.472,18.5,25
10,26.78125,91.561,12.475,0,21.975,3.1,175.0,109.0,72.7,194.6,3.368,17.5,25
11,26.78125,39.35,13.74,0,25.3,3.8,240.0,109.0,72.7,196.2,3.543,17.5,23
12,26.78125,27.851,20.19,0,31.965,3.8,205.0,113.8,74.7,206.8,3.778,18.5,24
13,26.78125,83.257,13.36,0,27.885,3.8,205.0,112.2,73.5,200.0,3.591,17.5,25
14,40.254,63.729,22.525,0,39.895,4.6,275.0,115.3,74.5,207.2,3.978,18.5,22
15,40.254,15.943,27.1,0,44.475,4.6,275.0,112.2,75.0,201.0,3.378025806451613,18.5,22
16,40.254,6.536,25.725,0,39.665,4.6,275.0,108.0,75.5,200.6,3.843,19.0,22
17,40.254,11.185,18.225,0,31.01,3.0,200.0,107.4,70.3,194.8,3.77,18.0,22
18,40.254,14.785,20.26333333333333,1,46.225,5.7,255.0,117.5,77.0,201.2,5.572,30.0,15
19,20.02277777777778,145.519,9.25,0,13.26,2.2,115.0,104.1,67.9,180.9,2.676,14.3,27
20,20.02277777777778,135.126,11.225,0,16.535,3.1,170.0,107.0,69.4,190.4,3.051,15.0,25
21,20.02277777777778,24.629,10.31,0,18.89,3.1,175.0,107.5,72.5,200.9,3.33,16.6,25
22,20.02277777777778,42.593,11.525,0,19.39,3.4,180.0,110.5,72.7,197.9,3.34,17.0,27
